time,l18,l30,isin,id,cs,cs_id,z,bvol,mv,eps,pe,tmin,tmax,pmin,pmax,py,pf,pl,plc,plp,pc,pcc,pcp,tno,tvol,tval,Buy_CountI,Buy_CountN,Sell_CountI,Sell_CountN,Buy_I_Volume,Buy_N_Volume,Sell_I_Volume,Sell_N_Volume,zd1,qd1,pd1,po1,qo1,zo1,zd2,qd2,pd2,po2,qo2,zo2,zd3,qd3,pd3,po3,qo3,zo3,zd4,qd4,pd4,po4,qo4,zo4,zd5,qd5,pd5,po5,qo5,zo5
12:14:29,کدما,معدنی‌ دماوند,IRO1DMVN0001,3623921205367364,استخراج کانه‌های فلزی,13,250000000,1,15122500000000,5671.0,10.7,56970,60490,60490,60490,58730,60490,60490,1760,3.0,60490,1760,3.0,76,109926,6649423740,3,0,71,0,109926,0,109926,0,134,1735817,60490,0,0,0,1,2532,59010,0,0,0,1,96,59000,0,0,0,1,2000,58800,0,0,0,1,100,58740,0,0,0
12:25:21,سشمال,سیمان‌ شمال,IRO1SIMS0001,6757220448540984,سیمان، آهک و گچ,53,5000000000,1,74550000000000,2064.0,7.2,14050,14910,14910,14910,14480,14910,14910,430,2.97,14910,430,2.97,76,2098415,31287367650,19,3,28,2,1798415,300000,123743,1974672,154,7614359,14910,0,0,0,3,300000,14810,0,0,0,1,600,14480,0,0,0,2,1447,14440,0,0,0,2,4393,14060,0,0,0
12:21:12,سشرق,سیمان‌ شرق,IRO1SSHR0001,26997316501080743,سیمان، آهک و گچ,53,6200000000,1,96224000000000,2904.0,5.3,14620,15520,15520,15520,15070,15520,15520,450,2.99,15520,450,2.99,76,499354,7749974080,11,0,55,2,499354,0,367134,132220,1079,58536077,15520,0,0,0,3,106500,15500,0,0,0,1,1000,15400,0,0,0,2,110000,15170,0,0,0,2,23968,15100,0,0,0
12:29:51,افق,فروشگاههای زنجیره ای افق کوروش,IRO1OFOG0001,49502666250908008,خرده‌فروشی، به‌استثنای وسایل نقلیه موتوری,47,30000000000,1,1398600000000000,2642.0,17.6,43920,46620,46620,46620,45270,46620,46620,1350,2.98,46620,1350,2.98,76,1018173,47467225260,10,1,54,2,918173,100000,179173,839000,445,23277953,46620,0,0,0,1,6708,46550,0,0,0,1,2000,46500,0,0,0,1,113,46400,0,0,0,2,1324,46000,0,0,0
11:53:39,تیام,صندوق س.سهامی تیام-س,IRT3TIMF0001,16578517055478811,صندوق سرمایه‌گذاری قابل معامله,68,1000000000,1,19605000000000,,,18545,19691,19118,19691,19118,19310,19650,532,2.78,19605,487,2.55,75,11725961,229887076429,17,5,10,3,293474,11432487,130498,11595463,2,58444,19400,19600,1000,1,1,100000,19311,19650,350,1,1,100000,19120,19679,10000,1,1,1000000,19118,19691,50000,1,1,23562,18965,0,0,0
12:22:33,حیات,بیمه زندگی مفید,IRO7MLFZ0001,19135771253028747,بیمه و صندوق بازنشستگی به جز تامین اجتماعی,66,2400000000,1,14712000000000,471.0,13.0,5820,6160,5860,6160,5990,5870,6160,170,2.84,6130,140,2.34,75,1713895,10502753700,15,0,53,1,1713895,0,1513895,200000,8,403387,6160,6230,5000,1,2,277282,6150,0,0,0,1,160000,6120,0,0,0,1,10000,6000,0,0,0,1,47150,5990,0,0,0
12:09:55,دارو,کارخانجات‌داروپخش,IRO1DPAK0001,67988012428906654,مواد و محصولات دارویی,43,51800000000,1,177415000000000,518.0,6.6,3227,3425,3425,3425,3326,3425,3425,99,2.98,3425,99,2.98,75,7681407,26308818975,19,3,29,1,6481407,1200000,767034,6914373,1077,285642618,3425,0,0,0,2,3258,3400,0,0,0,3,8500,3350,0,0,0,15,991418,3326,0,0,0,1,23428,3317,0,0,0
12:25:31,وتوس,توسعه‌شهری‌توس‌گستر,IRO1TGOS0001,68117765376081366,انبوه‌سازی، املاک و مستغلات,70,3200000000,1,22016000000000,395.0,17.4,6480,6880,6880,6880,6680,6880,6880,200,2.99,6880,200,2.99,75,2075693,14280767840,12,1,41,3,675693,1400000,973523,1102170,35,842164,6880,0,0,0,2,112266,6800,0,0,0,1,100000,6500,0,0,0,1,200000,6480,0,0,0,1,1000,5630,0,0,0
13:28:49,نشان,صندوق س. نشان هامرز-د,IRT3NEHF0001,1241998328504490,صندوق سرمایه‌گذاری قابل معامله,68,1600000000,1,46364800000000,,,28074,29810,28978,28979,28942,28978,28979,37,0.13,28978,36,0.12,74,15171991,439655361770,11,2,28,5,773723,14398268,1330919,13841072,94,99715993,28978,28979,19267285,19,1,1000000,28977,28980,100000,1,1,1000000,28976,28981,100000,1,1,1000000,28975,28982,100000,1,1,1000000,28974,28983,100000,1
12:27:57,فغدیر,آهن و فولاد غدیر ایرانیان,IRO3GIRZ0001,28147934478934110,فلزات اساسی,27,42000000000,1,184590000000000,600.0,7.3,4395,4665,4395,4450,4530,4395,4395,-135,-2.98,4395,-135,-2.98,74,1682271,7394220195,57,0,3,2,1682271,0,211870,1470401,1,2500,3816,4395,6533438,36,0,0,0,4417,63442,1,0,0,0,4440,14630,2,0,0,0,4450,2000,1,0,0,0,4500,20000,1
12:23:41,معیار,سرمایه گذاری معیار صنعت پارس,IRO7PSMP0001,50580753680043015,سرمایه‌گذاری‌ها,56,1500000000,1,2742000000000,90.0,20.3,1723,1829,1820,1829,1776,1827,1829,53,2.98,1828,52,2.93,74,4561341,8339305768,21,0,19,1,4561341,0,2761341,1800000,3,166970,1829,1911,2640,1,1,102153,1828,0,0,0,1,30000,1821,0,0,0,1,35000,1779,0,0,0,1,29000,1750,0,0,0
12:29:43,تماوند,تامین سرمایه دماوند,IRO3DIBZ0001,60162288821230099,فعالیت‌های کمکی به نهادهای مالی واسط,67,21000000000,1,49077000000000,412.0,5.7,2327,2469,2327,2384,2398,2355,2327,-71,-2.96,2337,-61,-2.54,74,2361729,5519786881,20,1,26,0,901729,1460000,2361729,0,2,10000,2327,2327,401748,2,1,30000,1886,2370,260771,1,0,0,0,2382,42208,1,0,0,0,2383,4661,1,0,0,0,2429,7300,1
12:24:05,مزه,صندوق س صنایع دایا3-بخشی,IRT1MAZE0001,20789606562681728,صندوق سرمایه‌گذاری قابل معامله,68,1000000000,1,18387000000000,,,17317,18387,18387,18387,17852,18387,18387,535,3.0,18387,535,3.0,73,20120788,369960928956,34,5,12,1,15563020,4557768,120788,20000000,205,75585860,18387,18387,999999,1,1,13160,18378,0,0,0,4,14741,17852,0,0,0,2,210000,17400,0,0,0,1,68,17333,0,0,0
12:29:53,وآفر,سرمایه گذاری ارزش آفرینان,IRO7AFRP0001,45991797190214892,سرمایه‌گذاری‌ها,56,300000000,1,3099000000000,369.0,28.0,10280,10680,10280,10480,10480,10280,10480,0,0.0,10330,-150,-1.43,73,1124663,11614237390,16,1,30,0,694763,429900,1124663,0,1,5987,10480,10660,1000,1,8,120000,10360,10670,20000,2,1,5000,10350,10680,91906,5,1,5000,10330,0,0,0,4,229692,10280,0,0,0
12:24:22,هامون,صندوق س. سهام ثروت هامون-س,IRT3HASF0001,63514093298304639,صندوق سرمایه‌گذاری قابل معامله,68,200000000,1,3484000000000,,,16441,17457,16950,17457,16949,17000,17457,508,3.0,17420,471,2.78,73,6837309,119108032315,11,5,9,5,1811848,5025461,300740,6536569,3,14150,17456,0,0,0,4,69250,17350,0,0,0,5,13786,17300,0,0,0,1,52000,17273,0,0,0,4,17600,17252,0,0,0
12:29:55,باران,بیمه زندگی باران,IRO7BLIP0001,26882843763780650,بیمه و صندوق بازنشستگی به جز تامین اجتماعی,66,2400000000,1,4202400000000,264.0,6.6,1656,1758,1725,1758,1707,1725,1750,43,2.52,1751,44,2.58,72,12950524,22678526694,9,1,21,2,4033398,8917126,775888,12174636,0,0,0,1754,50000,1,0,0,0,1758,300000,2,0,0,0,1765,2000,1,0,0,0,0,0,0,0,0,0,0,0,0
